external_course_key,course_id,course_name
2163-04218,2016-SPRI-PULLM-SOC-101-4218-LEC,2016-SPRI-PULLM-SOC-101-4218-LEC
2163-04217,2016-SPRI-PULLM-SOC-101-4217-LEC,2016-SPRI-PULLM-SOC-101-4217-LEC
2163-07289,2016-SPRI-ONLIN-SOC-101-7289-LEC,2016-SPRI-ONLIN-SOC-101-7289-LEC
2163-03832,2016-SPRI-PULLM-H_D-202-3832-LEC,2016-SPRI-PULLM-H_D-202-3832-LEC
2163-06804,2016-SPRI-VANCO-POL_S-512-6804-LEC,2016-SPRI-VANCO-POL_S-512-6804-LEC
2163-07460,2016-SPRI-ONLIN-ED_AD-585-7460-LEC,2016-SPRI-ONLIN-ED_AD-585-7460-LEC
2163-06550,2016-SPRI-VANCO-ED_AD-585-6550-LEC,2016-SPRI-VANCO-ED_AD-585-6550-LEC
2163-06549,2016-SPRI-VANCO-ED_AD-585-6549-LEC,2016-SPRI-VANCO-ED_AD-585-6549-LEC
2163-06552,2016-SPRI-VANCO-ED_AD-588-6552-LEC,2016-SPRI-VANCO-ED_AD-588-6552-LEC
2163-06553,2016-SPRI-VANCO-ED_AD-588-6553-LEC,2016-SPRI-VANCO-ED_AD-588-6553-LEC
2163-06555,2016-SPRI-VANCO-ED_AD-590-6555-INT,2016-SPRI-VANCO-ED_AD-590-6555-INT
2163-06554,2016-SPRI-VANCO-ED_AD-590-6554-INT,2016-SPRI-VANCO-ED_AD-590-6554-INT
2163-01069,2016-SPRI-TRICI-ED_AD-590-1069-INT,2016-SPRI-TRICI-ED_AD-590-1069-INT
2163-07145,2016-SPRI-VANCO-ED_AD-590-7145-INT,2016-SPRI-VANCO-ED_AD-590-7145-INT
2163-07897,2016-SPRI-SPOKA-ED_AD-590-7897-INT,2016-SPRI-SPOKA-ED_AD-590-7897-INT
2163-07896,2016-SPRI-SPOKA-ED_AD-590-7896-INT,2016-SPRI-SPOKA-ED_AD-590-7896-INT
2163-07895,2016-SPRI-SPOKA-ED_AD-590-7895-INT,2016-SPRI-SPOKA-ED_AD-590-7895-INT
2163-07894,2016-SPRI-SPOKA-ED_AD-590-7894-INT,2016-SPRI-SPOKA-ED_AD-590-7894-INT
2163-02548,2016-SPRI-PULLM-ED_AD-590-2548-INT,2016-SPRI-PULLM-ED_AD-590-2548-INT
2163-02547,2016-SPRI-PULLM-ED_AD-590-2547-INT,2016-SPRI-PULLM-ED_AD-590-2547-INT
